Submission ID,Respondent ID,Submitted at,How are you feeling about IOTA &amp; Shimmer right now?,What is your personal focus in this community / project,What is your personal focus in this community / project (Academic Research),What is your personal focus in this community / project (Development/Building),What is your personal focus in this community / project (Entrepreneurial Networking),What is your personal focus in this community / project (Speculative Research),What is your personal focus in this community / project (Community and friends),How confident are you in the progress IOTA &amp; Shimmer is making?,Which kind of project are you most excited about?,Which kind of project are you most excited about? (DeFi),Which kind of project are you most excited about? (Payments & On-Ramp),Which kind of project are you most excited about? (Other),Which kind of project are you most excited about? (DAO),Which kind of project are you most excited about? (Infrastructure),Which kind of project are you most excited about? (Wallet),Which kind of project are you most excited about? (Stablecoin),Which kind of project are you most excited about? (NFTs),Which kind of project are you most excited about? (Gaming & Metaverse),Which kind of project are you most excited about? (Bridge),Which kind of project are you most excited about? (Tooling & SDKs),Which kind of project are you most excited about? (DEX),Which kind of project are you most excited about? (Analytics & Block Explorer),Which kind of project are you most excited about? (Launchpad & Fundraising),How do you rate the Launch Party on Youtube?,Untitled long answer field,How often do you use Firefly?,What features are missing that would make you use Firefly more often?,What is currently stopping you from recommending Firefly to other people?,Anything else you'd like to share with the Firefly team?,How would you rate the documentation at https://wiki.iota.org,"Regarding the developer docs, tutorials, and tools, what do you expect the IOTA developer experience team to do more? (You can provide as many suggestions as you like)",Which project's (crypto/no-crypto) developer experience that you feel most exciting and why? Please provide as many details as you can,"The IOTA Foundation recently announced that it would enlarge its scope from only focusing on IoT and M2M. Do you have any thoughts about that, you would like to share with us?",An ever increasing amount of new crypto projects constantly enters the space. Which ones have you been taking an interest in within the past 6 months? (Bonus points if you tell us why),What should the IOTA Foundation do more? Please don’t forget to add why
VpG92J,WOPjyL,2022-10-15 7:56:11,Positive,"Speculative Research, Community and friends",FALSE,FALSE,FALSE,TRUE,TRUE,3,"DeFi, Infrastructure, Wallet, NFTs, Gaming & Metaverse",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,,A few times a week,NFT Support,Nothing - best Wallet,,8,,,Its the right step. With DeFi more and more people will get to know the great tech IOTA offers,Probably Play to Earn games and DEXs,"Many communitiy members would probably say marketing, and i agree with that. The IF should display their great and easy to use technology to more people. Especially when it comes to IOTA 2.0."
xVr0Oy,b5L6P0,2022-10-15 7:56:25,Positive,"Community and friends, Speculative Research, Entrepreneurial Networking",FALSE,FALSE,TRUE,TRUE,TRUE,4,"DeFi, Payments & On-Ramp, Infrastructure, Wallet, Gaming & Metaverse, NFTs, DEX",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,3,,A few times a week,,,,8,,,,,
9NB6bp,A7xjZo,2022-10-15 7:56:36,Positive,"Development/Building, Entrepreneurial Networking, Academic Research",TRUE,TRUE,TRUE,FALSE,FALSE,4,"NFTs, DEX, DAO, Tooling & SDKs, Infrastructure",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,4,,Once a month,,,,10,,,,,
Z98Gpz,VLV42N,2022-10-15 7:58:29,Positive,Speculative Research,FALSE,FALSE,FALSE,TRUE,FALSE,4,"Payments & On-Ramp, Infrastructure, Wallet, Gaming & Metaverse, DEX",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,4,,Once a week,On and off ramp ,Testphase,,,,,,,Marketing the protocol 
Nqr4eB,PdlGVP,2022-10-15 7:58:32,Positive,Speculative Research,FALSE,FALSE,FALSE,TRUE,FALSE,3,"DeFi, Infrastructure",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,,Less than once a month,,,,,,,,,
WJ2evj,2ELDQg,2022-10-15 7:58:50,Positive,"Community and friends, Entrepreneurial Networking",FALSE,FALSE,TRUE,FALSE,TRUE,4,"DeFi, Payments & On-Ramp, Infrastructure, DAO, Stablecoin, NFTs, Gaming & Metaverse, Bridge, Tooling & SDKs, DEX, Launchpad & Fundraising, Analytics & Block Explorer, Wallet",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4,,Once a week,NFT's Display,None,"All the best to whole team, you are doing great.",10,,,"Yeah! Finally fullfiling the whole IOTA potential, I saw that from the beginning (2017).",,Fasten the development and improve marketing.
7XqJ8P,RGRVEQ,2022-10-15 7:58:56,Positive,"Development/Building, Community and friends",FALSE,TRUE,FALSE,FALSE,TRUE,4,"Bridge, Launchpad & Fundraising, Wallet, DeFi",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,3,,Less than once a month,Multiple Applications,nothing,keep it up! great work,8,,,better communication with social media. a better roadmap with dates,"Shimmersea, lendexe, edag, ebsi, im.city",
vXM0Qv,VLV426,2022-10-15 7:59:05,Positive,"Community and friends, Academic Research, Speculative Research",TRUE,FALSE,FALSE,TRUE,TRUE,4,"DeFi, Payments & On-Ramp, DAO, Infrastructure, Wallet, Stablecoin, NFTs, Gaming & Metaverse, Bridge, DEX",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,3,,Once a week,Shimmer Ledger support,Shimmer Ledger Support ,,10,,,,"Ape Dao (because i am a simple person)
ShimmerSeaDex (Memechallenge & lumi)
Akkumulator (Sweet Yield)",You are doing enough. The hype have to become from celebrities/influencer
4aQ1WO,MeL798,2022-10-15 8:00:50,Positive,"Community and friends, Speculative Research, Development/Building",FALSE,TRUE,FALSE,TRUE,TRUE,4,"DeFi, Other, Infrastructure",TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,,Once a week,,,,8,,,,,
EqK8zN,aQ0ab2,2022-10-15 8:03:04,Positive,"Development/Building, Entrepreneurial Networking",FALSE,TRUE,TRUE,FALSE,FALSE,4,"DeFi, Infrastructure, Wallet, NFTs, Stablecoin, DEX, Analytics & Block Explorer, Launchpad & Fundraising",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,4,,Once a week,NFTs!! Browser wallet ,not much ,keep up the good work ,6,more in depth tutorials and a clearer structure ,,,,clearer focus on the webpage 
o9El91,81GMol,2022-10-15 8:06:49,Positive,"Speculative Research, Community and friends, Entrepreneurial Networking",FALSE,FALSE,TRUE,TRUE,TRUE,4,"DeFi, NFTs, DEX, Launchpad & Fundraising, Analytics & Block Explorer, Bridge, Stablecoin, Wallet, DAO",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,4,,A few times a week,EVM compatibility,,,10,,,,All DeFi related projects.,
xVr9jJ,lbLvbo,2022-10-15 8:09:05,Positive,Development/Building,FALSE,TRUE,FALSE,FALSE,FALSE,3,"Infrastructure, Gaming & Metaverse, Bridge, Tooling & SDKs, Analytics & Block Explorer, Launchpad & Fundraising, Wallet",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,4,,A few times a month,Nfts,There's no stablecoin,A few bugd when important exited walket,7,More tutorials pls,iota DID,,"stablecoin, feeless money transferring will be welcomed and replace current bsc    market

DID",More beginning level articles about iota2.0 & shimmer
kblO9J,EkLMql,2022-10-15 8:09:33,Positive,Academic Research,TRUE,FALSE,FALSE,FALSE,FALSE,4,"DeFi, Infrastructure, Analytics & Block Explorer, Tooling & SDKs, Bridge, Wallet, Stablecoin, Payments & On-Ramp, Launchpad & Fundraising",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,2,,Once a month,,,,7,,,Parfait,,"Plan d'action avec deadlines.

"
per4dZ,jaLveQ,2022-10-15 8:09:39,Positive,"Community and friends, Speculative Research, Entrepreneurial Networking",FALSE,FALSE,TRUE,TRUE,TRUE,3,"DeFi, Infrastructure, Gaming & Metaverse, DEX, Launchpad & Fundraising, Stablecoin, Payments & On-Ramp",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,3,I would have expected a public livestream with interviews from Singapore and a better professional setup. But Antonio did a great job. When having the coordicide party we should improve. Here also the community can be more active. For this event we should definitively rent a cool venue instead streaming from an IF members home.,Less than once a month,"Showing NFT collection, interacting with Defi Dapps via ledger integration ",Nothing. Firefly is bound to iota. When recommending iota I also inform about Firefly. ,Thx for all your hard effort. Firefly should become a central entry point for the iota users/ecosystems. Keep up the good work and I am eager to know how the firefly team will become an own spin off,9,A lot more code examples. For instance nft own other NFTs. This USP should be explained in more detail. ,,,,"More hackathon, more show casing projects with global meaning and most importantly having public panel discussions about Crypto relevant topics with other expert outside the IF ecosystem. All things  should attract developers, project managers and investors"
zEjWy8,81GMqz,2022-10-15 8:11:40,Positive,Speculative Research,FALSE,FALSE,FALSE,TRUE,FALSE,4,"Payments & On-Ramp, Tooling & SDKs",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,3,,Less than once a month,,,,8,,,,,
OQa8XA,44LzQA,2022-10-15 8:12:41,Positive,"Community and friends, Development/Building",FALSE,TRUE,FALSE,FALSE,TRUE,4,"Wallet, DeFi, NFTs, Gaming & Metaverse, Bridge, DAO, DEX, Payments & On-Ramp",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,4,,A few times a month,, Nothing,Keep on going  with the great work! ,10,,,"That’s great. IOTA should aim to go into mass production with their products. Whether it’s IoT or things like DID, which in my opinion, has huge potential when it comes e.g. to AML/KYC processes in Banking sector or the like. ","AZERO - because, they also are DAG based and might have potential to find their niche products. ","Be more actively pitching big entities to take foot into mass adoption. I think many companies use different projects just because they are not aware what IOTA is and how it will fit their need. IOTA really is a great product and needs to get this out to clients before others do. I fear, that soon, other projects will arise, copying the tech from IOTA and getting more attention all of a sudden, then IOTA does. This must be avoided under any circumstances. "
LD95P2,obovDx,2022-10-15 8:15:14,Positive,Community and friends,FALSE,FALSE,FALSE,FALSE,TRUE,3,"DeFi, NFTs, Payments & On-Ramp",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,,A few times a week,,,,,,,,,
yXMeJW,EkLM5r,2022-10-15 8:15:21,Positive,"Entrepreneurial Networking, Community and friends",FALSE,FALSE,TRUE,FALSE,TRUE,4,"Infrastructure, Payments & On-Ramp, DAO, Tooling & SDKs",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2,,Once a week,real world use cases,its services only for cex or dex,,8,award for completing the training,"bivreost, its likely to reach many users, with stable coin integration ,there is a lot of potentiol for usecase","It looks like it has a lot of potential, right decision","Algorand, strong tem backround. All projects that prioritize scientific methods are important.",Products should be used and this subject sholud be encouraged.
4aQPro,aQ0veb,2022-10-15 8:16:12,Positive,"Community and friends, Development/Building, Entrepreneurial Networking",FALSE,TRUE,TRUE,FALSE,TRUE,4,"DeFi, Payments & On-Ramp, DAO, Wallet, Infrastructure, NFTs, Gaming & Metaverse, Bridge, DEX, Analytics & Block Explorer",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,4,Antonio is a true OG,A few times a week,"purchasing IOTA / Shimmer directly with Debit/Credit cards without KYC option.

Be able to use FireFly instead of Metamask for everything crypto.",Nothing i recommend it to everyone,Keep up the great work and keep Building !!!!,10,,,,,
X5LOWe,obovex,2022-10-15 8:17:25,Positive,Speculative Research,FALSE,FALSE,FALSE,TRUE,FALSE,4,"DeFi, Infrastructure",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,,Once a week,,,,10,,,,,
YjPVWz,EkLMdr,2022-10-15 8:17:33,Positive,"Speculative Research, Community and friends",FALSE,FALSE,FALSE,TRUE,TRUE,3,"DeFi, Wallet, NFTs, Gaming & Metaverse, DEX, Bridge, Payments & On-Ramp",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,2,,Once a week,"Nfts, minting of tokens, contacts",,,9,,,,,
0VdoxP,gDLvq4,2022-10-15 8:19:23,Positive,"Speculative Research, Community and friends",FALSE,FALSE,FALSE,TRUE,TRUE,4,"DeFi, Bridge, DEX, Launchpad & Fundraising, Stablecoin, Wallet, Infrastructure, Payments & On-Ramp",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,4,,Once a week,/,/,Great wirk guys 😉,10,,,,,
kblOYZ,EkLMl4,2022-10-15 8:21:15,Positive,"Speculative Research, Academic Research",TRUE,FALSE,FALSE,TRUE,FALSE,3,"DeFi, Payments & On-Ramp, DAO, Infrastructure, Stablecoin, Bridge, DEX, Launchpad & Fundraising",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,3,,A few times a month,,,,7,,,,,
0VdoEA,QKdk77,2022-10-15 8:21:51,Positive,"Development/Building, Community and friends",FALSE,TRUE,FALSE,FALSE,TRUE,4,"Infrastructure, NFTs, Tooling & SDKs",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,3,,Once a month,Directly appending text/data like with Trinity.,"Missing functions that expand out of the current cryptocurrency ecosystem (e.g. easy payment gateways, messaging function)",P,10,I'm happy with as it is.,,It absolutely makes sense. I always felt like the original scope was quiet narrowly envisioned (maybe on purpose to have a better focused goal and market?) in comparison to what IOTA (and DLT in general)  was obviously going to be capable of.,"I'm most interested in new projects that enter the IOTA/Shimmer ecosystem. I think the feeless nature and how IOTA/SMR will handle NFTs will open up incredibly exciting new possibilities to handle commonly known crypto use cases. And also especially emerging ones like supply chain!
I think IOTA is uniquely suited to be used for large supply chains, more then any other project I know of.",Take care of each other. I believe the IF to be good on track and sometimes it's better to carefully handle what currently is in the pipeline instead of constantly going for more.
ArzWJl,XxEz4g,2022-10-15 8:23:09,Positive,"Community and friends, Development/Building, Entrepreneurial Networking",FALSE,TRUE,TRUE,FALSE,TRUE,4,"Infrastructure, Payments & On-Ramp, Gaming & Metaverse, Launchpad & Fundraising",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,3,,Once a month,"Top up directly to the wallet. I would love to have an option to buy Mi with lets say, EUR ",,,8,,,,ROSE and CHR,
xVr9Zd,9qOMQQ,2022-10-15 8:24:49,Positive,"Development/Building, Community and friends, Entrepreneurial Networking",FALSE,TRUE,TRUE,FALSE,TRUE,4,"DeFi, Payments & On-Ramp, Infrastructure, NFTs, Gaming & Metaverse, Analytics & Block Explorer, Launchpad & Fundraising",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,3,,Once a month,I would love to buy Mi with Fiat currency ,,,8,,,,Oasis Network,
9NB2lE,aQ0vdB,2022-10-15 8:24:58,Positive,Development/Building,FALSE,TRUE,FALSE,FALSE,FALSE,3,"Stablecoin, NFTs, Gaming & Metaverse",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3,,Less than once a month,,,,8,,,,,
xVr9yd,KYLklA,2022-10-15 8:28:23,Positive,Community and friends,FALSE,FALSE,FALSE,FALSE,TRUE,4,"Payments & On-Ramp, Bridge, DEX, Wallet, Gaming & Metaverse",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,4,,Once a month,"Integration into Messengers (Telegram,…)
or IOTA chat app",Usecases,,10,,,,,
xVr9yv,XxEzWj,2022-10-15 8:28:47,Positive,"Speculative Research, Community and friends",FALSE,FALSE,FALSE,TRUE,TRUE,3,DeFi,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,"DIdn´t watch the launch party, but seems packed with useful content",Once a week,"-Usecases where I need to send/use tokens, I don´t need to use the wallet just to check my balance
-staking","If I recommend IOTA, I recommed firefly",,,,,I hope focus/quality won´t be lost by doing many things in parallel,,
vXMqLl,RGRk0d,2022-10-15 8:29:32,Positive,"Speculative Research, Development/Building",FALSE,TRUE,FALSE,TRUE,FALSE,3,"Gaming & Metaverse, Bridge, DEX, Infrastructure",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,3,,Once a month,As a hodler nothing but thats an overall problem and not related to the wallet itself,"Iota adoption.
An implementation of erc 20tokens or so could drive adoption of firefly itself and lay out paths to brigdes.",,7,,,Good decision! I like still how it is hoghlighted that iota was designed for it and so people can grasp how important zero fees and scalability are,"A lil bit of nft but non speculative. I am impressed by the work from OM , with Punk 6529.

GameFi is growing very fast and its massively invested in. There is a portfolio basket on CMC from Animoca brands. It is setting standards in the space. 
After that DID is starting to rise","Providing concrete feature lists to the community so we can advertise them. Othwrwise we are often guessing or using some non conf. Discord facts.

I would also suggest to to more videos explaining the advantages with examples. We have to plant the vision into the brains. More on a business or environmental level, not too dev. Oriented showing a coding session. 
Hans is basically doing that stuff regularly at Stammtisch and the attendees love it and come back just for it. People are not aware yet what is possible with smr and iota and you cannot write it in a blog post. Look at charles hoskinson.. doing some monologue on any topic and recording it but people see and people understand the way he is thinking and start to see the vision. 
David sonstebo wasnt bad at it back then but Hans could do it even better. (I also know he should code on top priority ^^)
"
6DLrOY,KYLk6A,2022-10-15 8:31:06,Positive,"Development/Building, Community and friends",FALSE,TRUE,FALSE,FALSE,TRUE,4,"Infrastructure, Gaming & Metaverse, DEX, Launchpad & Fundraising",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,2,"was not really a party, at least online",Once a week,"adoption for iota token :)
",,its a great wallet,7,"nice setup for the docs, but they are sometimes not updated",,i support this,"grizzly.fi, great user experience and you need to checkout their marketing methods..! 
they are launched sice 3 months and have
twitter 55k followers
telegram 10k users
and no fake users or bots..",
5XbEqZ,dWlvYq,2022-10-15 8:31:49,Positive,"Entrepreneurial Networking, Community and friends, Speculative Research, Development/Building, Academic Research",TRUE,TRUE,TRUE,TRUE,TRUE,4,"NFTs, Wallet, DAO, DeFi, Infrastructure",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,,A few times a week,,,,10,,,,,
EqK8br,obovAV,2022-10-15 8:33:03,Positive,"Speculative Research, Community and friends",FALSE,FALSE,FALSE,TRUE,TRUE,3,"DeFi, NFTs, Gaming & Metaverse, DEX",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,4,,A few times a week,,,,8,,,,,
gbaWW4,jaLvME,2022-10-15 8:36:06,Negative,Community and friends,FALSE,FALSE,FALSE,FALSE,TRUE,3,"Gaming & Metaverse, Tooling & SDKs",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,3,,Once a month,,,,2,,,,,
o9Ellx,WOP1oa,2022-10-15 8:36:37,Positive,"Community and friends, Speculative Research",FALSE,FALSE,FALSE,TRUE,TRUE,3,"Payments & On-Ramp, Infrastructure, Wallet",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,,A few times a week,Buying Tokens directly within the wallet.,Entry barriers to crypto in general. Your have to go through an CEX.,Love your wallet. Great UX.,5,"I got the feeling that it is a little too technical for non developers. I for example am not a dev, but very interested in tech, but I never did set up a node until now, because I felt it was still too difficult/dev oriented. Although with a little more ""non-dev"" documentation I am sure it would not be that hard at all.",,Thumbs up. As long as all will still work for IoT and M2M.,"Algorand, Azero, Elrond, Polygon",Marketing and PR to raise awareness outside the bubble.
