Submission ID,Respondent ID,Submitted at,How are you feeling about IOTA &amp; Shimmer right now?,What is your personal focus in this community,What is your personal focus in this community (Academic Research),What is your personal focus in this community (Development/Building),What is your personal focus in this community (Entrepreneurial Networking),What is your personal focus in this community (Speculative Research),What is your personal focus in this community (Community and friends),What is your personal focus in this community (Governance),How confident are you in the progress IOTA &amp; Shimmer is making?,Which kind of project(s) are you most excited about?,Which kind of project(s) are you most excited about? (DeFi),Which kind of project(s) are you most excited about? (Payments & On-Ramp),Which kind of project(s) are you most excited about? (Other),Which kind of project(s) are you most excited about? (DAO),Which kind of project(s) are you most excited about? (Infrastructure),Which kind of project(s) are you most excited about? (Wallet),Which kind of project(s) are you most excited about? (Stablecoin),Which kind of project(s) are you most excited about? (NFTs),Which kind of project(s) are you most excited about? (Gaming),Which kind of project(s) are you most excited about? (Metaverse),Which kind of project(s) are you most excited about? (Bridge),Which kind of project(s) are you most excited about? (Tooling & SDKs),Which kind of project(s) are you most excited about? (DEX),Which kind of project(s) are you most excited about? (Analytics & Block Explorer),Which kind of project(s) are you most excited about? (Launchpad & Fundraising),Did you participate in the Treasures of Shimmer campaign?,Did you participate in the Treasures of Shimmer campaign? (I participated in Test&Earn and tried out dApps on ShimmerEVM),Did you participate in the Treasures of Shimmer campaign? (I participated in Play&Earn and engaged with the quests on Zealy),Did you participate in the Treasures of Shimmer campaign? (I did NOT participate in the Treasures of Shimmer campaign),How memorable was the Treasures of Shimmer campaign to you?,Did the campaign prompt you to seek more information about Shimmer?,How did you first become aware of the Treasures of Shimmer campaign on Zealy?,What is your overall rating of the Test &amp; Earn campaign?,How frequent did you participate in the Test &amp; Earn campaign?,Has the campaign improved your understanding of smart contracts and DeFi?,"After partaking in the campaign, how likely is it that you will use your SMR tokens to participate in dApps on mainnet?",What motivated you to engage with the Treasures of Shimmer campaign on Zealy?,What motivated you to engage with the Treasures of Shimmer campaign on Zealy? (The Anne Bonny NFT prize),What motivated you to engage with the Treasures of Shimmer campaign on Zealy? (The SMR airdrops),What motivated you to engage with the Treasures of Shimmer campaign on Zealy? (Other (Please comment)),Other,How would you rate the overall effectiveness of the Zealy campaign in capturing your attention and interest?,How would you rate your user experience with the TEA Zealy campaign?,"How likely is it, that you would participate in another Zealy campaign?",Additional comments
Z2Ek6B,yNgxLX,2023-06-20 16:07:58,Positive,"Community and friends, Entrepreneurial Networking, Academic Research",TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,4,"DeFi, DAO, Wallet, NFTs, Gaming, Metaverse, Bridge, DEX",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,I participated in Test&Earn and tried out dApps on ShimmerEVM,TRUE,FALSE,FALSE,4,Yes,Airdrop collection website,4,Daily,Yes,Likely,,,,,,,,,Waiting for the mainnet 
Pz1Q6e,YRer1N,2023-06-20 16:08:15,Negative,Community and friends,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,"DeFi, DAO, DEX",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,I did NOT participate in the Treasures of Shimmer campaign,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,
roa9KN,YPZ01J,2023-06-20 16:08:57,Positive,"Speculative Research, Entrepreneurial Networking",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,4,"DeFi, Bridge, DEX",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,I did NOT participate in the Treasures of Shimmer campaign,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,
Pz1Q0V,oE6N75,2023-06-20 16:09:17,Negative,"Speculative Research, Community and friends",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2,"Payments & On-Ramp, Infrastructure, Gaming, Metaverse, DEX, DeFi",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,I did NOT participate in the Treasures of Shimmer campaign,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,
LP7xYj,7bjvlZ,2023-06-20 16:09:57,Positive,Development/Building,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3,"DeFi, DAO, NFTs, DEX, Launchpad & Fundraising",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,"I participated in Test&Earn and tried out dApps on ShimmerEVM, I participated in Play&Earn and engaged with the quests on Zealy",TRUE,TRUE,FALSE,4,Yes,IOTA/Shimmer Discord,4,Couple of times,Yes,Extremely likely,"The Anne Bonny NFT prize, The SMR airdrops",TRUE,TRUE,FALSE,,4,4,4,
z7yBW1,Vpk9Zg,2023-06-20 16:11:09,Positive,"Entrepreneurial Networking, Speculative Research, Community and friends, Governance",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,2,"DAO, Infrastructure, NFTs, DEX, DeFi, Payments & On-Ramp, Wallet, Stablecoin, Bridge, Tooling & SDKs",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,I did NOT participate in the Treasures of Shimmer campaign,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,
2Kad5M,1kOv7O,2023-06-20 16:13:40,Positive,"Community and friends, Governance, Speculative Research",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,4,"DeFi, Payments & On-Ramp, DAO, Infrastructure, Wallet, NFTs, Stablecoin, Gaming, Metaverse, DEX, Analytics & Block Explorer",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,I participated in Test&Earn and tried out dApps on ShimmerEVM,TRUE,FALSE,FALSE,4,Yes,"dApp Twitter (IOTAapes, ShimmerSea, etc..)",3,Daily,Yes,Likely,,,,,,,,,
l6e2Xo,EkLMql,2023-06-20 16:14:35,Negative,Academic Research,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,"DeFi, NFTs, Metaverse, DAO",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"I participated in Test&Earn and tried out dApps on ShimmerEVM, I participated in Play&Earn and engaged with the quests on Zealy",TRUE,TRUE,FALSE,3,No,IOTA Twitter,4,Daily,Unsure,Neutral,Other (Please comment),FALSE,FALSE,TRUE,La campagne en elle meme,3,3,2,
GR9EVe,7bjvdz,2023-06-20 16:14:37,Positive,"Speculative Research, Community and friends",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,3,"DeFi, Infrastructure, Wallet, NFTs, Gaming, Metaverse, DEX, Analytics & Block Explorer",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,I did NOT participate in the Treasures of Shimmer campaign,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,
xJMb7d,KeODMK,2023-06-20 16:14:42,Positive,"Speculative Research, Community and friends",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,3,"DeFi, Payments & On-Ramp, Wallet, Stablecoin, DEX, Bridge",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,I did NOT participate in the Treasures of Shimmer campaign,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,
o2eNNO,9Xxv14,2023-06-20 16:15:02,Negative,Speculative Research,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,"Payments & On-Ramp, Infrastructure",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,I did NOT participate in the Treasures of Shimmer campaign,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,
X4JAPY,BK6DZ4,2023-06-20 16:15:35,Positive,"Governance, Development/Building",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2,"DeFi, Payments & On-Ramp, Wallet, Analytics & Block Explorer, Infrastructure",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,I did NOT participate in the Treasures of Shimmer campaign,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,
qRDQrG,yNgvv6,2023-06-20 16:16:09,Negative,"Development/Building, Speculative Research",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,2,"DeFi, Payments & On-Ramp, Infrastructure, Wallet, Stablecoin, DEX",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,I did NOT participate in the Treasures of Shimmer campaign,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,
979AX4,RW7BNl,2023-06-20 16:19:10,Positive,Community and friends,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3,"NFTs, DEX, DAO, Infrastructure, Payments & On-Ramp",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"I participated in Test&Earn and tried out dApps on ShimmerEVM, I participated in Play&Earn and engaged with the quests on Zealy",TRUE,TRUE,FALSE,4,Yes,Shimmer Twitter,4,Daily,Yes,Extremely likely,"The Anne Bonny NFT prize, The SMR airdrops",TRUE,TRUE,FALSE,,3,4,4,
z7y8ME,54rvVE,2023-06-20 16:19:46,Negative,Speculative Research,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,3,"DeFi, Payments & On-Ramp, Infrastructure, Wallet",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,I did NOT participate in the Treasures of Shimmer campaign,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,
MENjRE,b9grgL,2023-06-20 16:20:09,Positive,Speculative Research,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2,"Payments & On-Ramp, DeFi, Infrastructure",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,I did NOT participate in the Treasures of Shimmer campaign,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,
z7y8qg,YReYy5,2023-06-20 16:20:59,Positive,"Community and friends, Speculative Research, Governance",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,4,"DeFi, Payments & On-Ramp, DAO, Infrastructure, Wallet, Stablecoin, NFTs, DEX, Analytics & Block Explorer, Launchpad & Fundraising",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,"I participated in Test&Earn and tried out dApps on ShimmerEVM, I participated in Play&Earn and engaged with the quests on Zealy",TRUE,TRUE,FALSE,4,Yes,Shimmer Twitter,4,Daily,Yes,Extremely unlikely,"The SMR airdrops, Other (Please comment)",FALSE,TRUE,TRUE,Testing out Deeper finance,4,4,4,Wen EVM on Mainnet?
N7l2Yj,BK6DY7,2023-06-20 16:22:21,Positive,Development/Building,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3,"DeFi, DEX, Bridge, NFTs, Payments & On-Ramp",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,I participated in Test&Earn and tried out dApps on ShimmerEVM,TRUE,FALSE,FALSE,,,Shimmer Twitter,3,Couple of times,Unsure,Likely,,,,,,,,,
roa8kl,gegZoK,2023-06-20 16:24:25,Positive,"Entrepreneurial Networking, Academic Research, Development/Building",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,4,"DeFi, Gaming, Metaverse, Bridge, Analytics & Block Explorer, DEX, Wallet, NFTs, Infrastructure, Launchpad & Fundraising",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"I participated in Test&Earn and tried out dApps on ShimmerEVM, I participated in Play&Earn and engaged with the quests on Zealy",TRUE,TRUE,FALSE,3,No,IOTA Twitter,2,Couple of times,Unsure,Likely,The SMR airdrops,FALSE,TRUE,FALSE,,3,3,4,
7NL7e9,E5AD9A,2023-06-20 16:26:09,Positive,"Community and friends, Speculative Research",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,3,"DeFi, Wallet, NFTs, DEX, Metaverse, Gaming, Stablecoin, Infrastructure",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"I participated in Test&Earn and tried out dApps on ShimmerEVM, I participated in Play&Earn and engaged with the quests on Zealy",TRUE,TRUE,FALSE,3,Yes,Shimmer Twitter,3,Daily,Yes,Likely,The SMR airdrops,FALSE,TRUE,FALSE,,4,3,3,
KV5rNK,PD4Yax,2023-06-20 16:27:26,Positive,"Entrepreneurial Networking, Speculative Research",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,4,"DeFi, Payments & On-Ramp, DAO, NFTs, Bridge, DEX, Launchpad & Fundraising",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,I did NOT participate in the Treasures of Shimmer campaign,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,
roaMyN,BK6QpQ,2023-06-20 16:30:45,Positive,Speculative Research,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,4,"DeFi, Infrastructure, Wallet, Tooling & SDKs, Analytics & Block Explorer, Launchpad & Fundraising",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,"I participated in Test&Earn and tried out dApps on ShimmerEVM, I participated in Play&Earn and engaged with the quests on Zealy",TRUE,TRUE,FALSE,4,Yes,A friend told me,4,Daily,Yes,Extremely likely,The SMR airdrops,FALSE,TRUE,FALSE,,4,4,4,
RDMy5p,geg7Ml,2023-06-20 16:32:33,Positive,Academic Research,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3,"DAO, Infrastructure, Stablecoin, Bridge",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,I did NOT participate in the Treasures of Shimmer campaign,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,
0eBRMQ,GKkJro,2023-06-20 16:33:19,Positive,Community and friends,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,"Bridge, DeFi, Payments & On-Ramp, DAO, Wallet, Infrastructure, DEX, Tooling & SDKs",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,I did NOT participate in the Treasures of Shimmer campaign,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,
l6ekWX,NDEJ0G,2023-06-20 16:34:33,Positive,"Speculative Research, Governance, Development/Building",FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,2,"DeFi, Payments & On-Ramp, Infrastructure, Stablecoin, NFTs, Gaming, Analytics & Block Explorer, Launchpad & Fundraising",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"I participated in Test&Earn and tried out dApps on ShimmerEVM, I participated in Play&Earn and engaged with the quests on Zealy",TRUE,TRUE,FALSE,2,Yes,IOTA Twitter,4,Daily,No,Likely,"The Anne Bonny NFT prize, The SMR airdrops",TRUE,TRUE,FALSE,,4,3,4,
O74MJM,GKkJLj,2023-06-20 16:34:55,Positive,Entrepreneurial Networking,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,3,"Infrastructure, Tooling & SDKs",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,I participated in Test&Earn and tried out dApps on ShimmerEVM,TRUE,FALSE,FALSE,3,Yes,Shimmer Twitter,2,Couple of times,Yes,Neutral,,,,,,,,,
qRD1jg,vrgOOd,2023-06-20 16:35:56,Positive,Speculative Research,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,3,"DeFi, Infrastructure, Wallet, Stablecoin, NFTs, Bridge",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"I participated in Test&Earn and tried out dApps on ShimmerEVM, I participated in Play&Earn and engaged with the quests on Zealy",TRUE,TRUE,FALSE,3,Yes,Shimmer Blog,,Daily,Yes,Unlikely,"The SMR airdrops, The Anne Bonny NFT prize",TRUE,TRUE,FALSE,,3,3,3,
yJ25R4,1kOJ6b,2023-06-20 16:39:22,Positive,"Academic Research, Speculative Research, Development/Building",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,4,"Wallet, Payments & On-Ramp, DeFi, Stablecoin, DEX, Metaverse",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,I did NOT participate in the Treasures of Shimmer campaign,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,
Z2Errv,geg7rD,2023-06-20 16:41:31,Positive,Speculative Research,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,3,Tooling & SDKs,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,I did NOT participate in the Treasures of Shimmer campaign,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,
7NLrA6,qagKM9,2023-06-20 16:42:30,Positive,Entrepreneurial Networking,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2,"Payments & On-Ramp, Bridge, DeFi",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,I did NOT participate in the Treasures of Shimmer campaign,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,
vPe57g,AKaqM0,2023-06-20 16:44:04,Positive,"Community and friends, Speculative Research",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,4,"DeFi, Infrastructure, Bridge, Tooling & SDKs",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,I did NOT participate in the Treasures of Shimmer campaign,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,
l6eEaN,W2RyyQ,2023-06-20 16:44:45,Positive,"Community and friends, Entrepreneurial Networking",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,3,"DeFi, Launchpad & Fundraising, NFTs, Stablecoin, Infrastructure, Payments & On-Ramp, DAO",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,I participated in Test&Earn and tried out dApps on ShimmerEVM,TRUE,FALSE,FALSE,4,Yes,Shimmer Twitter,3,Daily,Yes,Extremely likely,,,,,,,,,"Unfortunately I had technical problems with Zealy as connecting of my discord didn't work, maybe because my laptop is highly secured"
