"Submission ID","Respondent ID","Submitted at","How are you feeling about IOTA &amp; Shimmer right now?","What is your personal focus in this community / project","What is your personal focus in this community / project (Academic Research)","What is your personal focus in this community / project (Development/Building)","What is your personal focus in this community / project (Entrepreneurial Networking)","What is your personal focus in this community / project (Speculative Research)","What is your personal focus in this community / project (Community and friends)","What is your personal focus in this community / project (Governance)","How confident are you in the progress IOTA &amp; Shimmer is making?","Which libraries do you use for development (select all that apply)?","Which libraries do you use for development (select all that apply)? (Wallet library - https://github.com/iotaledger/wallet.rs)","Which libraries do you use for development (select all that apply)? (Client library - https://github.com/iotaledger/iota.rs)","Are you using the Rust crates, one of the bindings or iota.js?","Which bindings are you using? ","Which bindings are you using?  (NodeJS)","Which bindings are you using?  (Python)","Which bindings are you using?  (Java)","Which bindings are you using?  (Swift)","Which bindings are you using?  (WASM)","What are you using for learning resources? (e.g. wiki, codebase)","Do you have any feature request?","Do you have any feedback?","Which kind of project are you most excited about?","Which kind of project are you most excited about? (DeFi)","Which kind of project are you most excited about? (Payments & On-Ramp)","Which kind of project are you most excited about? (Other)","Which kind of project are you most excited about? (DAO)","Which kind of project are you most excited about? (Infrastructure)","Which kind of project are you most excited about? (Wallet)","Which kind of project are you most excited about? (Stablecoin)","Which kind of project are you most excited about? (NFTs)","Which kind of project are you most excited about? (Gaming)","Which kind of project are you most excited about? (Bridge)","Which kind of project are you most excited about? (Tooling & SDKs)","Which kind of project are you most excited about? (DEX)","Which kind of project are you most excited about? (Analytics & Block Explorer)","Which kind of project are you most excited about? (Launchpad & Fundraising)","Which kind of project are you most excited about? (Metaverse)","What topics in the cryptocurrency space in general would interest you the most to learn more about in the future? (multi answers)","What topics in the cryptocurrency space in general would interest you the most to learn more about in the future? (multi answers) (Smart Contracts)","What topics in the cryptocurrency space in general would interest you the most to learn more about in the future? (multi answers) (DeFi)","What topics in the cryptocurrency space in general would interest you the most to learn more about in the future? (multi answers) (Tokenomics)","What topics in the cryptocurrency space in general would interest you the most to learn more about in the future? (multi answers) (DLT Protocol Features (zK, Sharding, etc..))","What topics in the cryptocurrency space in general would interest you the most to learn more about in the future? (multi answers) (Security (Managing tokens, bridges, etc..))","In which form would you prefer to learn new things the most?","In which form would you prefer to learn new things the most? (Blog posts)","In which form would you prefer to learn new things the most? (Twitter threads)","In which form would you prefer to learn new things the most? (IOTA Wiki Content)","In which form would you prefer to learn new things the most? (YouTube clips)","In which form would you prefer to learn new things the most? (Recorded Live Sessions)","In which form would you prefer to learn new things the most? (Podcasts)","Specific to the IOTA protocol, which things do you want to learn with priority?","Specific to the IOTA protocol, which things do you want to learn with priority? (IOTA 2.0 consensus)","Specific to the IOTA protocol, which things do you want to learn with priority? (Mana)","Specific to the IOTA protocol, which things do you want to learn with priority? (Digital Identity)","Specific to the IOTA protocol, which things do you want to learn with priority? (IOTA Smart Contracts)","Specific to the IOTA protocol, which things do you want to learn with priority? (Develop on IOTA (use libraries, etc))"
"rBWqPo","e5dxLE","2023-03-16 17:14:41","Negative","Community and friends",false,false,false,false,true,false,2,,,,,,,,,,,,,,"Infrastructure, Wallet, Gaming, Metaverse, DeFi, Payments & On-Ramp, NFTs",true,true,false,false,true,true,false,true,true,false,false,false,false,false,true,"Smart Contracts, DeFi, Tokenomics, DLT Protocol Features (zK, Sharding, etc..)",true,true,true,true,false,"Blog posts, Twitter threads, YouTube clips",true,true,false,true,false,false,"IOTA 2.0 consensus, Mana, Digital Identity, IOTA Smart Contracts",true,true,true,true,false
"lqZ4dN","ZjlZ0A","2023-03-16 17:15:15","Positive","Speculative Research, Community and friends, Governance, Entrepreneurial Networking",false,false,true,true,true,true,2,,,,,,,,,,,,,,"DeFi, Payments & On-Ramp, Infrastructure, Stablecoin, Bridge, DEX, Launchpad & Fundraising, Gaming",true,true,false,false,true,false,true,false,true,true,false,true,false,true,false,"DLT Protocol Features (zK, Sharding, etc..)",false,false,false,true,false,"Twitter threads, Recorded Live Sessions",false,true,false,false,true,false,"IOTA 2.0 consensus, Mana, IOTA Smart Contracts",true,true,false,true,false
"YRyqZJ","xVeNP9","2023-03-16 17:16:14","Positive","Governance, Speculative Research",false,false,false,true,false,true,4,,,,,,,,,,,,,,"DeFi, Payments & On-Ramp, DAO, Wallet, Stablecoin, NFTs, Gaming, Metaverse, DEX, Infrastructure",true,true,false,true,true,true,true,true,true,false,false,true,false,false,true,"Smart Contracts, DeFi, Tokenomics",true,true,true,false,false,"Twitter threads, IOTA Wiki Content, YouTube clips",false,true,true,true,false,false,"Mana, Digital Identity, IOTA Smart Contracts",false,true,true,true,false
"k9xrW1","X5KBOe","2023-03-16 17:18:16","Negative","Entrepreneurial Networking, Speculative Research",false,false,true,true,false,false,2,,,,,,,,,,,,,,"Wallet, Stablecoin, DeFi, Payments & On-Ramp, Infrastructure, Bridge",true,true,false,false,true,true,true,false,false,true,false,false,false,false,false,"Smart Contracts, DLT Protocol Features (zK, Sharding, etc..), Tokenomics, DeFi, Security (Managing tokens, bridges, etc..)",true,true,true,true,true,"Blog posts, Twitter threads, YouTube clips",true,true,false,true,false,false,"IOTA 2.0 consensus, Develop on IOTA (use libraries, etc), Digital Identity",true,false,true,false,true
"PDyP4P","Eq4bAr","2023-03-16 17:24:29","Negative","Speculative Research, Community and friends",false,false,false,true,true,false,2,,,,,,,,,,,,,,"Bridge, Payments & On-Ramp, Launchpad & Fundraising, DEX, Wallet, DeFi",true,true,false,false,false,true,false,false,false,true,false,true,false,true,false,"Security (Managing tokens, bridges, etc..), Tokenomics, Smart Contracts, DeFi",true,true,true,false,true,"Podcasts, Twitter threads",false,true,false,false,false,true,"Digital Identity",false,false,true,false,false
"AK5Qao","7X89eR","2023-03-16 17:24:47","Positive","Community and friends, Entrepreneurial Networking, Speculative Research",false,false,true,true,true,false,2,,,,,,,,,,,,,,"Payments & On-Ramp, Infrastructure, Stablecoin, Tooling & SDKs, DEX, Metaverse",false,true,false,false,true,false,true,false,false,false,true,true,false,false,true,"Smart Contracts, DLT Protocol Features (zK, Sharding, etc..)",true,false,false,true,false,"Blog posts, Twitter threads, YouTube clips, Podcasts",true,true,false,true,false,true,"IOTA 2.0 consensus, IOTA Smart Contracts, Develop on IOTA (use libraries, etc)",true,false,false,true,true
"JdYBvK","bZ04Mg","2023-03-16 17:30:11","Positive","Development/Building",false,true,false,false,false,false,4,"Client library - https://github.com/iotaledger/iota.rs, Wallet library - https://github.com/iotaledger/wallet.rs",true,true,"Bindings","NodeJS, Python",true,true,false,false,false,"Wiki github repo",,"","DAO, Wallet, Tooling & SDKs, Infrastructure",false,false,false,true,true,true,false,false,false,false,true,false,false,false,false,"Smart Contracts, DLT Protocol Features (zK, Sharding, etc..), Security (Managing tokens, bridges, etc..)",true,false,false,true,true,"IOTA Wiki Content, YouTube clips, Blog posts, Recorded Live Sessions, Podcasts",true,false,true,true,true,true,"IOTA 2.0 consensus, IOTA Smart Contracts, Develop on IOTA (use libraries, etc), Digital Identity",true,false,true,true,true
"oDQx4e","RW7BNl","2023-03-16 17:34:43","Positive","Community and friends",false,false,false,false,true,false,3,,,,,,,,,,,,,,"NFTs, DEX, Infrastructure",false,false,false,false,true,false,false,true,false,false,false,true,false,false,false,"Smart Contracts",true,false,false,false,false,"Blog posts",true,false,false,false,false,false,"IOTA Smart Contracts, Digital Identity, Mana",false,true,true,true,false
"vrbW7Q","rDxrX5","2023-03-16 17:35:56","Negative","Community and friends",false,false,false,false,true,false,2,,,,,,,,,,,,,,"DeFi, Wallet, DEX",true,false,false,false,false,true,false,false,false,false,false,true,false,false,false,"DeFi",false,true,false,false,false,"YouTube clips, Twitter threads",false,true,false,true,false,false,"Mana",false,true,false,false,false
"pd95xb","jeO9K6","2023-03-16 17:35:58","Positive","Academic Research, Speculative Research",true,false,false,true,false,false,4,,,,,,,,,,,,,,"Wallet, Payments & On-Ramp, DeFi, Infrastructure, Other",true,true,true,false,true,true,false,false,false,false,false,false,false,false,false,"Smart Contracts, DeFi, Security (Managing tokens, bridges, etc..)",true,true,false,false,true,"YouTube clips, Blog posts, Twitter threads, IOTA Wiki Content",true,true,true,true,false,false,"Digital Identity, IOTA 2.0 consensus, Mana",true,true,true,false,false
"lqZgRo","xVe0jd","2023-03-16 17:43:16","Negative","Speculative Research",false,false,false,true,false,false,2,,,,,,,,,,,,,,"Payments & On-Ramp, Wallet, NFTs, Bridge",false,true,false,false,false,true,false,true,false,true,false,false,false,false,false,"Tokenomics, DLT Protocol Features (zK, Sharding, etc..), Security (Managing tokens, bridges, etc..)",false,false,true,true,true,"Recorded Live Sessions, IOTA Wiki Content, Twitter threads, Blog posts",true,true,true,false,true,false,"IOTA Smart Contracts, IOTA 2.0 consensus",true,false,false,true,false
"MDyPGX","Vpk9Zg","2023-03-16 17:50:09","Positive","Community and friends, Speculative Research, Entrepreneurial Networking",false,false,true,true,true,false,4,,,,,,,,,,,,,,"DAO, NFTs, Metaverse, DEX, DeFi, Infrastructure, Wallet",true,false,false,true,true,true,false,true,false,false,false,true,false,false,true,"Smart Contracts, DeFi, Tokenomics, Security (Managing tokens, bridges, etc..), DLT Protocol Features (zK, Sharding, etc..)",true,true,true,true,true,"Blog posts, Twitter threads, IOTA Wiki Content",true,true,true,false,false,false,"IOTA 2.0 consensus, Mana, Digital Identity, IOTA Smart Contracts, Develop on IOTA (use libraries, etc)",true,true,true,true,true
"2B5Vdg","vXQ00A","2023-03-16 17:54:54","Positive","Entrepreneurial Networking",false,false,true,false,false,false,4,,,,,,,,,,,,,,"Payments & On-Ramp",false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,"Tokenomics",false,false,true,false,false,"Twitter threads",false,true,false,false,false,false,"Mana",false,true,false,false,false
"075lOZ","Vpk9XM","2023-03-16 18:05:22","Positive","Entrepreneurial Networking",false,false,true,false,false,false,3,,,,,,,,,,,,,,"Payments & On-Ramp, DAO, Stablecoin, Bridge, Launchpad & Fundraising",false,true,false,true,false,false,true,false,false,true,false,false,false,true,false,"Smart Contracts, DLT Protocol Features (zK, Sharding, etc..), Tokenomics",true,false,true,true,false,"YouTube clips, Recorded Live Sessions, Podcasts",false,false,false,true,true,true,"Digital Identity, IOTA Smart Contracts, Mana",false,true,true,true,false
"rBWpGo","PRa2o5","2023-03-16 18:12:20","Positive","Development/Building",false,true,false,false,false,false,3,"Wallet library - https://github.com/iotaledger/wallet.rs",true,false,"iota.js",,,,,,,,,,"DeFi, DAO, Wallet, NFTs",true,false,false,true,false,true,false,true,false,false,false,false,false,false,false,"DeFi",false,true,false,false,false,,,,,,,,"IOTA 2.0 consensus, Mana, Digital Identity, IOTA Smart Contracts",true,true,true,true,false
"2B5Z1e","68RVz5","2023-03-16 18:12:22","Negative","Community and friends",false,false,false,false,true,false,3,,,,,,,,,,,,,,"DeFi, Infrastructure, NFTs, Stablecoin, Gaming, Bridge, DEX",true,false,false,false,true,false,true,true,true,true,false,true,false,false,false,"Smart Contracts, DeFi, DLT Protocol Features (zK, Sharding, etc..)",true,true,false,true,false,"YouTube clips, IOTA Wiki Content, Blog posts, Recorded Live Sessions",true,false,true,true,true,false,"IOTA Smart Contracts, IOTA 2.0 consensus, Develop on IOTA (use libraries, etc), Digital Identity",true,false,true,true,true
"Rdlgb4","KpqPX7","2023-03-16 18:13:10","Positive","Speculative Research",false,false,false,true,false,false,2,,,,,,,,,,,,,,"DeFi, DEX, Infrastructure, Payments & On-Ramp",true,true,false,false,true,false,false,false,false,false,false,true,false,false,false,"Smart Contracts, DeFi, DLT Protocol Features (zK, Sharding, etc..), Security (Managing tokens, bridges, etc..), Tokenomics",true,true,true,true,true,"Blog posts, Recorded Live Sessions, Podcasts",true,false,false,false,true,true,"IOTA 2.0 consensus, Digital Identity, IOTA Smart Contracts, Mana",true,true,true,true,false
"PDyg70","e5d9RQ","2023-03-16 18:24:09","Positive","Community and friends, Governance",false,false,false,false,true,true,4,"Client library - https://github.com/iotaledger/iota.rs",false,true,,,,,,,,,,,"DeFi, Gaming, Metaverse, Bridge, DEX, Stablecoin, NFTs",true,false,false,false,false,false,true,true,true,true,false,true,false,false,true,"Smart Contracts, DeFi, Tokenomics",true,true,true,false,false,"YouTube clips, Blog posts",true,false,false,true,false,false,"Digital Identity, IOTA Smart Contracts",false,false,true,true,false
"QMyyKX","2jMOrD","2023-03-16 18:29:02","Positive","Speculative Research, Community and friends",false,false,false,true,true,false,3,"Wallet library - https://github.com/iotaledger/wallet.rs",true,false,,,,,,,,,,,"Gaming, NFTs, Wallet, Payments & On-Ramp, DEX, Metaverse, Launchpad & Fundraising",false,true,false,false,false,true,false,true,true,false,false,true,false,true,true,"Smart Contracts, Security (Managing tokens, bridges, etc..), Tokenomics",true,false,true,false,true,"Twitter threads, IOTA Wiki Content, YouTube clips",false,true,true,true,false,false,"IOTA 2.0 consensus, Mana, IOTA Smart Contracts",true,true,false,true,false
"Wrddrv","xVe9y5","2023-03-16 18:31:23","Negative","Speculative Research, Entrepreneurial Networking",false,false,true,true,false,false,2,,,,,,,,,,,,,,"DeFi, DAO, Metaverse",true,false,false,true,false,false,false,false,false,false,false,false,false,false,true,"Smart Contracts, DeFi, Security (Managing tokens, bridges, etc..)",true,true,false,false,true,"YouTube clips, Podcasts, Blog posts",true,false,false,true,false,true,"IOTA 2.0 consensus, Digital Identity, IOTA Smart Contracts",true,false,true,true,false
"0755Bj","Nqe8Jl","2023-03-16 18:31:38","Positive","Community and friends",false,false,false,false,true,false,4,,,,,,,,,,,,,,"DeFi",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"DLT Protocol Features (zK, Sharding, etc..), Smart Contracts",true,false,false,true,false,"YouTube clips, Podcasts, Recorded Live Sessions",false,false,false,true,true,true,"IOTA 2.0 consensus",true,false,false,false,false
"qaeek5","Qo68Xk","2023-03-16 18:42:01","Positive","Academic Research, Speculative Research",true,false,false,true,false,false,2,,,,,,,,,,,,,,"DeFi, DEX, Wallet, Launchpad & Fundraising, Analytics & Block Explorer",true,false,false,false,false,true,false,false,false,false,false,true,true,true,false,"Smart Contracts, DeFi, Tokenomics",true,true,true,false,false,"YouTube clips, Recorded Live Sessions, Podcasts",false,false,false,true,true,true,"Mana, IOTA Smart Contracts, IOTA 2.0 consensus",true,true,false,true,false
"MDyyM8","A7xjZo","2023-03-16 18:42:59","Positive","Development/Building, Entrepreneurial Networking",false,true,true,false,false,false,4,"Wallet library - https://github.com/iotaledger/wallet.rs, Client library - https://github.com/iotaledger/iota.rs",true,true,"Rust Crates",,,,,,,,,,"Payments & On-Ramp, Other, DAO, Wallet",false,true,true,true,false,true,false,false,false,false,false,false,false,false,false,"Smart Contracts",true,false,false,false,false,"Blog posts, IOTA Wiki Content, YouTube clips",true,false,true,true,false,false,"IOTA 2.0 consensus, Digital Identity, IOTA Smart Contracts",true,false,true,true,false
"dNVVzr","xVe919","2023-03-16 18:44:11","Negative","Entrepreneurial Networking, Community and friends",false,false,true,false,true,false,1,,,,,,,,,,,,,,"DeFi, Payments & On-Ramp, DEX, Gaming, Metaverse",true,true,false,false,false,false,false,false,true,false,false,true,false,false,true,"Smart Contracts, Tokenomics, DeFi",true,true,true,false,false,"Blog posts, Twitter threads, YouTube clips, Podcasts",true,true,false,true,false,true,"IOTA 2.0 consensus, Mana",true,true,false,false,false
"MDyyPk","WJvlkL","2023-03-16 18:45:37","Positive","Community and friends, Governance",false,false,false,false,true,true,2,,,,,,,,,,,,,,"DeFi, Payments & On-Ramp, DAO, Infrastructure, Wallet, Stablecoin, NFTs, Gaming, Metaverse, Bridge, Tooling & SDKs, DEX, Analytics & Block Explorer, Launchpad & Fundraising",true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,"DeFi, Smart Contracts, Tokenomics, Security (Managing tokens, bridges, etc..), DLT Protocol Features (zK, Sharding, etc..)",true,true,true,true,true,"YouTube clips, Blog posts",true,false,false,true,false,false,"IOTA 2.0 consensus, Mana, Digital Identity, IOTA Smart Contracts",true,true,true,true,false
"rBW1yp","q52jxY","2023-03-16 18:57:10","Positive","Community and friends, Development/Building, Governance",false,true,false,false,true,true,4,"Wallet library - https://github.com/iotaledger/wallet.rs, Client library - https://github.com/iotaledger/iota.rs",true,true,"Rust Crates",,,,,,,"Discord, Twitter ",,"Keep up the great work, thank you ALL ","Launchpad & Fundraising, Tooling & SDKs, DEX, Wallet, DAO, DeFi, Infrastructure, Payments & On-Ramp, Stablecoin, NFTs, Analytics & Block Explorer, Bridge",true,true,false,true,true,true,true,true,false,true,true,true,true,true,false,"Smart Contracts, Tokenomics, Security (Managing tokens, bridges, etc..), DLT Protocol Features (zK, Sharding, etc..), DeFi",true,true,true,true,true,"YouTube clips, IOTA Wiki Content, Twitter threads",false,true,true,true,false,false,"IOTA 2.0 consensus, Mana, Digital Identity, IOTA Smart Contracts",true,true,true,true,false
"b9GyW1","pelRdV","2023-03-16 19:02:19","Positive","Academic Research",true,false,false,false,false,false,4,,,,,,,,,,,,,,"Bridge",false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,"Smart Contracts",true,false,false,false,false,"Blog posts",true,false,false,false,false,false,"IOTA 2.0 consensus, Mana",true,true,false,false,false
"8z5yKP","q52oGd","2023-03-16 19:03:48","Negative","Speculative Research, Community and friends",false,false,false,true,true,false,3,,,,,,,,,,,,,,"DeFi, Payments & On-Ramp, Other, DAO, Infrastructure, Stablecoin, NFTs, Wallet, Gaming, Metaverse, Bridge, Tooling & SDKs, DEX, Analytics & Block Explorer, Launchpad & Fundraising",true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,"Smart Contracts, DeFi, DLT Protocol Features (zK, Sharding, etc..), Tokenomics, Security (Managing tokens, bridges, etc..)",true,true,true,true,true,"Twitter threads, YouTube clips, Recorded Live Sessions, IOTA Wiki Content, Blog posts, Podcasts",true,true,true,true,true,true,"IOTA 2.0 consensus, Mana, Digital Identity, IOTA Smart Contracts, Develop on IOTA (use libraries, etc)",true,true,true,true,true
"GKy4rZ","NqeM7W","2023-03-16 19:04:54","Positive","Community and friends",false,false,false,false,true,false,4,,,,,,,,,,,,,,"DeFi, Payments & On-Ramp, Bridge",true,true,false,false,false,false,false,false,false,true,false,false,false,false,false,"Smart Contracts, DeFi, DLT Protocol Features (zK, Sharding, etc..)",true,true,false,true,false,"Blog posts, Podcasts, Twitter threads, YouTube clips",true,true,false,true,false,true,"IOTA 2.0 consensus, Digital Identity, IOTA Smart Contracts",true,false,true,true,false
"lqZ1lW","X5K1ee","2023-03-16 19:08:35","Positive","Community and friends, Speculative Research",false,false,false,true,true,false,3,,,,,,,,,,,,,,"Gaming, Bridge, Launchpad & Fundraising, DeFi, Wallet",true,false,false,false,false,true,false,false,true,true,false,false,false,true,false,"Smart Contracts, DLT Protocol Features (zK, Sharding, etc..), Security (Managing tokens, bridges, etc..), DeFi, Tokenomics",true,true,true,true,true,"YouTube clips",false,false,false,true,false,false,"IOTA Smart Contracts",false,false,false,true,false
