Submission ID,Respondent ID,Submitted at,How are you feeling about IOTA &amp; Shimmer right now?,What is your personal focus in this community,What is your personal focus in this community (Academic Research),What is your personal focus in this community (Development/Building),What is your personal focus in this community (Entrepreneurial Networking),What is your personal focus in this community (Speculative Research),What is your personal focus in this community (Community and friends),What is your personal focus in this community (Governance),How confident are you in the progress IOTA &amp; Shimmer is making?,Which kind of project(s) are you most excited about?,Which kind of project(s) are you most excited about? (DeFi),Which kind of project(s) are you most excited about? (Payments & On-Ramp),Which kind of project(s) are you most excited about? (Other),Which kind of project(s) are you most excited about? (DAO),Which kind of project(s) are you most excited about? (Infrastructure),Which kind of project(s) are you most excited about? (Wallet),Which kind of project(s) are you most excited about? (Stablecoin),Which kind of project(s) are you most excited about? (NFTs),Which kind of project(s) are you most excited about? (Gaming),Which kind of project(s) are you most excited about? (Metaverse),Which kind of project(s) are you most excited about? (Bridge),Which kind of project(s) are you most excited about? (Tooling & SDKs),Which kind of project(s) are you most excited about? (DEX),Which kind of project(s) are you most excited about? (Analytics & Block Explorer),Which kind of project(s) are you most excited about? (Launchpad & Fundraising),Which kind of project(s) are you most excited about? (Identity),How transparent do you feel the foundation and their departments are?,How satisfied are you with the way the foundation and their departments communicate?,How much do you agree with the following statement?The IF is making efforts towards being transparent and open.,Are there any specific topics that you would like to see the foundation and their departments communicate more about?
GzQP5j,Dpgz1p,2023-09-27 13:05:10,Negative,Community and friends,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,"Infrastructure, DeFi, Payments & On-Ramp, Identity, Wallet, Stablecoin, NFTs, Gaming, Metaverse, Bridge, Tooling & SDKs, DEX, Launchpad & Fundraising",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,1,1,1,
N6RZdG,jo1PM9,2023-09-27 13:05:16,Positive,"Development/Building, Entrepreneurial Networking",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,3,"DeFi, Payments & On-Ramp, Infrastructure, Wallet, Gaming, Launchpad & Fundraising",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3,3,4,Push more the community projects. 
BX2Re7,RGRVEQ,2023-09-27 13:05:23,Negative,Governance,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,"Stablecoin, Identity, Metaverse, Launchpad & Fundraising, DEX",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,1,1,1,
g0koO1,rOzPEp,2023-09-27 13:05:48,Positive,Community and friends,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3,"Identity, DeFi, Infrastructure",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,1,2,
xplWoJ,rOzPVp,2023-09-27 13:06:17,Positive,"Entrepreneurial Networking, Speculative Research, Community and friends, Governance",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,3,"DeFi, Payments & On-Ramp, DAO, Wallet, Stablecoin, DEX",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,3,3,3,
kykPxj,2AQPvg,2023-09-27 13:06:48,Negative,Development/Building,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,"Identity, Infrastructure, DEX, Launchpad & Fundraising, Analytics & Block Explorer",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,1,1,1,
Mb7xQE,d0BdDV,2023-09-27 13:07:12,Negative,Speculative Research,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2,"DEX, Wallet, Infrastructure",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,3,2,3,
YQxAKz,VP2JM6,2023-09-27 13:07:17,Negative,Development/Building,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2,"Infrastructure, Wallet, Stablecoin, Bridge, Tooling & SDKs, Analytics & Block Explorer",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1,1,1,"Where did the EDF funds go, who is considered contributor in the recent supply increase, how much Tokens is the foundation still holding"
P6GqWP,2AQPJM,2023-09-27 13:07:21,Positive,Development/Building,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,4,DAO,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,2,3,
Mb7xlE,BpM7b1,2023-09-27 13:07:35,Positive,Speculative Research,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,3,"DeFi, DEX, NFTs, Stablecoin",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2,3,3,
V046XN,YReLAJ,2023-09-27 13:07:41,Positive,"Governance, Academic Research, Speculative Research, Development/Building",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,3,"DeFi, Payments & On-Ramp, DAO, Identity, Metaverse, Analytics & Block Explorer, Launchpad & Fundraising",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,3,3,3,
P6GqQx,AKMxYD,2023-09-27 13:08:26,Negative,"Speculative Research, Community and friends",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2,"DeFi, Stablecoin, NFTs, DEX, Wallet",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,1,
48pb05,jo1PGQ,2023-09-27 13:08:28,Negative,Speculative Research,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2,"DeFi, Identity, Wallet, Gaming",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,2,2,
xplW8d,erkR9x,2023-09-27 13:08:36,Negative,"Speculative Research, Community and friends",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1,"Infrastructure, DeFi, Identity, Other",TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,1,3,
0xDWq9,Jl5z8r,2023-09-27 13:08:56,Positive,Development/Building,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,4,"DeFi, DEX",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,3,3,3,Coordicide
YQxANB,1kxWz1,2023-09-27 13:11:38,Positive,"Development/Building, Entrepreneurial Networking, Community and friends",FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,4,"DeFi, Payments & On-Ramp, Infrastructure, Wallet, Stablecoin, Launchpad & Fundraising",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,2,3,Roadmap
OzoNWR,NXGoOl,2023-09-27 13:12:03,Positive,"Speculative Research, Entrepreneurial Networking, Development/Building",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,4,"DeFi, Identity, Infrastructure, Gaming, Bridge, DEX",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,3,3,4,
qdklxY,gqKGOO,2023-09-27 13:12:11,Negative,"Development/Building, Entrepreneurial Networking, Community and friends",FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,2,"DeFi, Payments & On-Ramp, DAO, NFTs, Tooling & SDKs, Wallet, Infrastructure",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2,2,2,
AdjgP0,WRxzQN,2023-09-27 13:12:36,Positive,Community and friends,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3,"DeFi, Infrastructure, NFTs",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,2,3,
QDOZop,WRxzgj,2023-09-27 13:13:19,Positive,"Community and friends, Development/Building",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,3,"DeFi, Payments & On-Ramp, Infrastructure, Identity, NFTs, Gaming, Launchpad & Fundraising, DEX, Wallet, Stablecoin, DAO",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,3,2,3,"Exchanges, because toke availability is a key part of adoption of the protocol!"
Ozo2a8,YGNay5,2023-09-27 13:13:38,Positive,"Entrepreneurial Networking, Community and friends, Speculative Research",FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,2,"Identity, Wallet, Payments & On-Ramp",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,2,2,Clear communication about partners.
P6GxpQ,ElyWYX,2023-09-27 13:13:43,Negative,Development/Building,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2,"Launchpad & Fundraising, Payments & On-Ramp, DeFi, Infrastructure, Bridge, Metaverse",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,1,1,1,
1lpekM,vDoYbv,2023-09-27 13:13:58,Positive,Community and friends,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,"Payments & On-Ramp, DeFi",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,
xplqjG,d0Bd1q,2023-09-27 13:14:07,Positive,"Community and friends, Speculative Research",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,3,DeFi,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,3,4,
V04eQa,rOzP1v,2023-09-27 13:14:21,Positive,"Development/Building, Entrepreneurial Networking, Speculative Research",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,3,"Infrastructure, Identity, Wallet, Stablecoin, Gaming",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,1,2,
48p6Jb,2AQPyV,2023-09-27 13:14:22,Negative,"Entrepreneurial Networking, Community and friends, Speculative Research",FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,3,"Infrastructure, Identity, Other, DeFi",TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,2,1,"There is a real need to act on transparency and communications; as well as put in place some level of governance mechanism where the community can effectively input/challenge major decisions. This might have helped in coming up with much better recent solutions

Looking at expanding the Board is also something that would go a long way

The way that the question on transparency is shaped is a bit misleading. The departments are great at communicating. It is more the transparency around governance and decision making as well as the financial situation that arre problematic"
r6k4o5,DpgzE5,2023-09-27 13:14:43,Negative,Development/Building,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2,"Identity, Infrastructure, Payments & On-Ramp",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,3,3,
67plZO,rOzPbv,2023-09-27 13:14:48,Positive,"Community and friends, Speculative Research, Development/Building",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,3,"DeFi, Infrastructure, Identity, Wallet",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,1,1,
AdjgBW,jo1PqE,2023-09-27 13:14:49,Positive,"Community and friends, Governance",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,3,"Payments & On-Ramp, DAO, Infrastructure, Identity, Gaming, Bridge, Tooling & SDKs",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,1,1,2,
V04eJE,BpM7VN,2023-09-27 13:15:02,Negative,Community and friends,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,"DeFi, DAO, Identity, DEX, Infrastructure, Payments & On-Ramp",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,1,2,1,
P6GxO0,XoZ0d4,2023-09-27 13:15:11,Positive,Development/Building,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2,"Identity, Payments & On-Ramp, Infrastructure",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,1,2,
e6YJRo,RoEP1J,2023-09-27 13:15:19,Positive,"Development/Building, Entrepreneurial Networking, Speculative Research, Community and friends, Governance",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,4,"Infrastructure, Identity",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,2,4,
7WpA2z,Y5rkdd,2023-09-27 13:15:44,Negative,"Speculative Research, Academic Research, Development/Building",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,2,"Identity, Metaverse, Tooling & SDKs, Infrastructure",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1,1,2,
DNZ81X,oRXGNX,2023-09-27 13:16:41,Positive,"Community and friends, Speculative Research",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,3,"DeFi, DAO, Infrastructure, Identity, DEX, Analytics & Block Explorer",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,3,3,4,
48p6k5,a47dpE,2023-09-27 13:16:52,Positive,Development/Building,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,4,"DeFi, Payments & On-Ramp, Identity",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,4,4,
YQx6dv,RoEPqp,2023-09-27 13:17:08,Positive,"Speculative Research, Governance",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,3,"DeFi, DAO, Identity, Stablecoin, DEX",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,1,2,3,
jykRx1,jo1PA6,2023-09-27 13:17:15,Positive,"Community and friends, Speculative Research",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,3,"DeFi, Payments & On-Ramp, Infrastructure, Identity, Wallet, Stablecoin, DEX, Analytics & Block Explorer, Tooling & SDKs",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,1,2,2,"Weekly or monthly reports with insights  about:
- Partnerships (won and lost)
- Financial situation of IF
- Development progress (also positive and negative)
- Updated roadmap/next steps/next releases"
9WokvE,OXOGNA,2023-09-27 13:17:45,Negative,Community and friends,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3,"Identity, Infrastructure, Wallet",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,1,1,
EXNR8B,OlRAN7,2023-09-27 13:19:20,Negative,Entrepreneurial Networking,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,NFTs,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,is this a trick question?
N6Rj8j,8L7x9k,2023-09-27 13:19:28,Negative,Development/Building,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,Other,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,Dom has to go
zq1920,ZOqaxA,2023-09-27 13:19:44,Positive,"Development/Building, Community and friends",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,4,"DeFi, DAO, Infrastructure, Metaverse, Analytics & Block Explorer",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,4,4,4,Cool
YQx6pJ,NXGozN,2023-09-27 13:19:45,Negative,"Speculative Research, Community and friends, Governance, Development/Building, Academic Research, Entrepreneurial Networking",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,"Tooling & SDKs, Identity, Infrastructure, Payments & On-Ramp, Wallet, DAO, Stablecoin, Bridge, DEX, Analytics & Block Explorer",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,1,1,1,Decision that are being made communicated directly and not a few days before these decisions are being implemented without the community being able to discuss and voice their opinions about it.
Ozo2E7,6KaNXN,2023-09-27 13:20:57,Positive,Community and friends,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3,"Identity, Payments & On-Ramp",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,2,2,
BX2ye5,08NOpA,2023-09-27 13:21:06,Negative,Community and friends,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,Stablecoin,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,
9WokxY,2AQN8e,2023-09-27 13:21:50,Positive,"Development/Building, Academic Research, Governance",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,3,"DeFi, Payments & On-Ramp, Infrastructure, Identity, Wallet, Stablecoin, Tooling & SDKs",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1,2,2,
a6aLkq,ZOq65V,2023-09-27 13:21:53,Positive,"Entrepreneurial Networking, Speculative Research",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,4,"DeFi, Identity, Bridge, DEX, Launchpad & Fundraising, Stablecoin",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,1,2,3,"As a non Techguy, i cant see the real progress via github. So communicating this, like once a month, would be cool. What kind of progress was made where or what did we change and why.
And as soon as you are allowd to, pls tell us who these guys from the UAE are. 

Love "
pKkEMb,WRx59e,2023-09-27 13:22:00,Negative,"Community and friends, Development/Building",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,3,"Infrastructure, DeFi, Tooling & SDKs",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,2,1,
BX2yV7,rOzAD2,2023-09-27 13:23:21,Positive,"Community and friends, Governance",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,2,"DeFi, Infrastructure, NFTs",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,3,3,more about unplanned delays
zq198E,QRP5MG,2023-09-27 13:24:49,Positive,Academic Research,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3,"DeFi, Infrastructure, Payments & On-Ramp",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,3,3,
zq196Z,dNpvrq,2023-09-27 13:25:37,Positive,Speculative Research,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2,"DeFi, Infrastructure, Identity, Stablecoin, DEX, NFTs",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,1,1,2,Most information is communicated by the community and not the teams (or barely/only on discord)
2eDWWg,NXGW7l,2023-09-27 13:26:05,Positive,Entrepreneurial Networking,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,3,DeFi,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,
